Mensaje,Fecha
Te amo un mundoo Samuel ,1/30/2024
tqm 💌,2/8/2024
Tequieromuchochivoamarillo,2/6/2024
Aña,1/31/2024
Feliz San Valentín Dani te amo,1/30/2024
Se acabaron sus sueños ,2/2/2024
Te amo mi chiki baby My love 💗,2/5/2024
TQM <3,2/5/2024
Te amo princesa ,2/8/2024
feliz san valentin anita <3,2/8/2024
Con mucho amor ❤️,2/9/2024
Te amo mucho 😍,1/30/2024
Tamo 💗,2/9/2024
Para el amor de mi vida Dylan ,1/25/2024
olaaaaa Dany ya,2/7/2024
Te quiero muchísimo,2/8/2024
tamo negris,1/26/2024
No te dejare ser expectadora 💕,2/1/2024
Feliz San Valentín naye tqm💗,2/1/2024
te quiero mucho vilatuña,2/1/2024
te amo <3,2/2/2024
ATT: TU MAYOR ADMIRADOR,1/29/2024
Te amo mi chiquita ,2/9/2024
Te amo negra ya ,2/7/2024
Niña fea sjsjsj,1/31/2024
Tkm Jppppp,2/2/2024
Gracias por tu amistad <3,2/9/2024
Se le quiere esposa 😍,1/30/2024
Feliz san valentin,2/6/2024
Para mi balerina bella<3,1/28/2024
Tqm mi bonita ♡,2/4/2024
Para la mejor amiga del mundo ,2/3/2024
te amo princeso <3,2/6/2024
en el modelo estabas muy linda,1/26/2024
❤️ lindaaaa,1/31/2024
Te amo demasiado eres la mejor,2/5/2024
Hola,2/6/2024
Nunca pasarás el 14 sola ❤️,2/2/2024
Roses are perfect like you 💕,2/9/2024
No seas espectadora 💕💪,2/1/2024
Kamy te amo disfruta tus gomis,1/25/2024
C le quiere ñañin,2/9/2024
Para mi esquizofrénica 💗,2/2/2024
De: 🐺  Para:🐭 T.Q.M 💜,2/8/2024
ni   imaginas cuánto tq Sofa,2/8/2024
Mi 14 de febrero jaja te amo ,2/8/2024
"Sos re especial, te quiero ❤️",2/8/2024
de tu amiga secreta ;] ,2/9/2024
te amooooooooooooooooooooooooo,2/2/2024
Con muchoo cariño vv 💗,2/6/2024
TQM lulu ,2/7/2024
Te amo mi niña ❤️,2/6/2024
Te amo pomberito muah.,2/4/2024
Para ti bb,2/5/2024
Te quiero mucho mucho mi amor.,2/8/2024
Te amooooou 🩷,1/29/2024
!Feliz San Valentin Sarahi!,2/8/2024
te amo ,2/3/2024
Te quiero mucho novia mia ,2/6/2024
Te amo,2/2/2024
Eres mi San Valentín<3,1/30/2024
TQM pendejo ♡,1/30/2024
"Ojitos lindos, disfruta tu día",2/6/2024
"eres todo para mi, tqm enana",2/5/2024
Tqm ley,2/2/2024
Tamo Renata,2/7/2024
te amo boba,2/9/2024
Te quiero muchote fea,2/2/2024
Te quiero para siempre <3,2/6/2024
Ya no estes enojada  Feliz día,2/6/2024
te amo mi princesita  linda ,2/5/2024
Muak ,2/2/2024
Te debia una :),2/1/2024
"Contesta los mensajes, pérdida",2/2/2024
Te quiero.🤍,2/7/2024
Esta pulsera tenemos todas,2/7/2024
"Eso tilín, feliz cumple anos",2/7/2024
te quiero negra,1/31/2024
Te adoro Donita ,2/7/2024
Feliz San Valentín🌷🫶,2/1/2024
I love you mailof ,1/25/2024
Disfrutalo mi estimada,2/7/2024
Regalarás me algo,2/7/2024
TE EXTRAÑO ,2/1/2024
Te amo mi Yeyi bonita 💕💕mireal,2/1/2024
Tqm Adriii,2/8/2024
te quiero full ,1/31/2024
Te quiero mucho mi linda!,2/7/2024
 te amo mucho y gracias ❤,2/6/2024
Te amo guapaaa 🫶🏻,1/27/2024
Tqm Abisite,1/26/2024
ya aceptame la salida ,2/8/2024
"Del hombre de tu vida, te amo ",1/30/2024
POR GUAPA,2/2/2024
Eres como beautiful de Cerati,1/29/2024
Enana 💗,2/6/2024
Te amo princesita ,1/26/2024
Te quiero hermosa<33,2/7/2024
culon ,2/7/2024
Hola Tetta ya juega fort ,2/1/2024
Tqm ,2/9/2024
Que la pases super,2/9/2024
algo especial para alguien ...,2/5/2024
Te amo romi linda ,1/27/2024
Te mereces a alguin como yo,2/2/2024
Te amo negrita 🫶🏻,1/30/2024
T adoro Mome <3,2/8/2024
feliz 14 pita t amo <3,2/6/2024
jajjajaj para ti ,2/2/2024
Queso y Jamon,2/2/2024
Te amoamo ,1/31/2024
Todos lo que amo están en ti.,2/7/2024
TQM michi,2/2/2024
ola negrita,2/6/2024
Más filosofía a la 1:00AM :D,2/6/2024
"Te amo mi vida, me encantas",2/1/2024
Te amo Nadiex 💘,2/1/2024
Feliz dia chica  ❤,2/9/2024
sapite,2/5/2024
Feliz cumple atrasado xd,1/27/2024
Te quiero hermanito del alma,2/2/2024
Feliz dia de la amistad Miky,2/5/2024
Para el mejor hermano TQM,1/30/2024
Tiamo ,2/7/2024
TAM Danita feliz San Valentin ,1/31/2024
tqmm abisita linda <3,2/7/2024
Color cartón mojado,2/1/2024
Me gustas,2/8/2024
Feliz san valentin vale,2/7/2024
Las quiero mucho,2/6/2024
"Con amor y cariño.  ""Aless""",2/3/2024
te amo mami linda,2/1/2024
Ay el Sr.Mini Molina 🙄,2/7/2024
Te amo mucho minion hermosaa ,1/27/2024
Gracias por ser la mejor tutor,2/2/2024
YOURE MY MY MY MYYYYYY LOVER,2/8/2024
Te quiero mi bonita ,2/9/2024
Yanez 👻,1/31/2024
para mi color llanta favorito ,2/7/2024
Te quiero pero haber si peinas,2/7/2024
"Tu vida huele a flor, tkm",2/7/2024
Mi mexicana bonita ♥️,1/26/2024
Me encantas,2/10/2024
Tamo muak ,2/5/2024
Te amo mi amor  ,2/8/2024
Feliz San Valentin :) T amo <3,2/7/2024
Te amo kamilita ,2/1/2024
Amiguita 😊,2/9/2024
te amo Andy ponche ,2/8/2024
♡,2/3/2024
te adorororo,2/7/2024
te amo mi nv hermosa,1/30/2024
Se la ama,2/8/2024
Te amo muchoo ❥,2/6/2024
"Feliz día, espero que te guste",2/6/2024
Ola nalgona,2/7/2024
Te quiero un montón erelamejor,2/8/2024
Te quiero mucho Dilan!,2/7/2024
De nosotras 😻,1/30/2024
"Te amo, eres lo mejor ",2/6/2024
Sammy se t quiere,2/9/2024
Mi Niño bonito 🤍,2/8/2024
ñam,2/5/2024
Te quiero Melyderizitosdeoro ,1/30/2024
de la mjr amiga q vas a tener💋,2/8/2024
te extraño mucho mi Emy,2/7/2024
Feliz San Valentin amiguitooo❤️,2/1/2024
TE AMO  SOFI YA CASATE CON EL ,1/29/2024
Negro bobo te quiero dms,1/27/2024
Para la mejor chica del mundo ,2/9/2024
Te quiero mucho mi vida ❤️,2/7/2024
Para mi hermana mayor <3,1/29/2024
eres el agua de mi cate😽lof u,2/7/2024
Para ti veivei ,1/29/2024
Compartirle al Pepito xfa,2/1/2024
Eres un gran amigo grax 🤩👊,2/7/2024
nunca m faltes xfi 💓,2/8/2024
"Deja de hacerme bulling :""(",2/2/2024
Nos registra en WhatsApp ❤️ ,2/8/2024
Espero te gusten mi Rena bella,2/4/2024
TEA AMOO EMILIA don míguelo ,2/5/2024
Te extraño <33,2/7/2024
Te quiero mucho primaaa🫶,1/30/2024
ya supéralo  ❣️,2/5/2024
para ti mi beba feliz dia <3,2/7/2024
Gracias por existir bro,2/3/2024
te amo mi gatita,2/10/2024
TQM ♥️ feliz San Valentín ,2/8/2024
tamo ,2/7/2024
Te quiero 💖,2/8/2024
 te amo espero pronto verte ,2/6/2024
Te amo mucho mi niña hermosa,2/10/2024
Tkm ñaño,2/10/2024
Te quiero mucho Tomy muakkk ,2/6/2024
Te quiero R,2/8/2024
Yo que se,2/8/2024
Tan lindaa,1/29/2024
Hola ,2/8/2024
Te amo mi vida hermosa  💖 ,2/7/2024
Tqm soci ,2/6/2024
Pa ti pndj♡,2/5/2024
Wanna be my valentine? ❤️,2/7/2024
Te quiero mucho bonita,2/6/2024
Para ti espero que te gusten,2/9/2024
Te quiero mucho swiftie 🖤,2/7/2024
Te amoo bonita,1/30/2024
Para mi mejo,2/6/2024
Mei chi dou ,1/26/2024
Feliz San Valentin Mi reyna ,2/6/2024
TQMM,2/5/2024
Guapa caes mal <3,2/5/2024
Fucking posser,2/6/2024
💜Te amo como no tienes idea 💜,2/8/2024
Soy la mejor madre wkbejwje,1/30/2024
Tus consejos son top 🔝STQ,2/5/2024
Tqm💕. ,2/9/2024
"Te amo marthi, nunca me faltes",1/25/2024
Te amo preciosa,2/7/2024
De parte de tu mejor amigo,2/10/2024
Te amo mi amor preciosa 💗,2/7/2024
Te amo morena bella,2/1/2024
te amo pazita 💕,1/29/2024
Te mereces esto y mas mi amor💗,2/2/2024
Te adoro mi vida,2/8/2024
tqm krysthel 🫶,2/1/2024
Soy del Letort ,2/6/2024
T amo cara de 🦊,2/8/2024
Feliz día lindota 🥰🫵🏻,2/7/2024
Feliz San Valentín mi sopita ❤️,2/9/2024
Confirma para ir a tomar🗣️🗣️🔥🔥💯💯,2/6/2024
Gracias por todo ❤️,2/5/2024
Te amo mua,2/6/2024
Es XS pero disfrutas,2/6/2024
"Te quiero, y no me olvido de t",1/25/2024
🐜,2/7/2024
Le queremos mucho profe linda♡,2/7/2024
FELIZ SAN VALENTIN ÑAÑITO,2/6/2024
Te quiero mucho ari,2/7/2024
<3<3 ,2/6/2024
Feliz día fabi te amo 🏎️♾️,2/9/2024
Te amo mi eterno valentín 💕 ,2/6/2024
tiza y mily forever <3,2/5/2024
ola bola <3,2/5/2024
JAJAJAJA se te quiere egassss,1/29/2024
Nequele tqm  <3,2/7/2024
Tqm enana 🏀🏀,2/7/2024
Feliz dia mi amor😍❤️🦌,2/7/2024
te amo mi vida ❤️,2/10/2024
Ola teamo ,2/7/2024
Feliz día chiquita ❤️ TQM ,2/3/2024
Feliz san Valentín ,2/7/2024
🫶🏻,2/1/2024
Hola negra te amo 💋,2/8/2024
Soy el enanito de tu cuento ❄,2/2/2024
Te quiero mucho Hibi <3,1/25/2024
Te quiero mucho ña🩵,2/1/2024
En un beso dos almas suspiran.,2/6/2024
Te quiero muchísimo loquita 🫶🏿,2/2/2024
Te amo primita ,2/5/2024
Te quiero mucho Lily feliz SV,1/29/2024
De chanchadas como tú jiji TAM,2/1/2024
Te amooo papi 🫶🏻💕 ,1/29/2024
Te amo cosa fea,2/7/2024
Feliz día de la amistad :3,2/8/2024
De mi para mí ,2/4/2024
We u be mi valentine's? ALFI?,2/9/2024
TQM Alice,2/7/2024
TQM camilita 🍅,2/7/2024
Te amooo mucho <3,2/7/2024
(en contra de mi voluntad),2/4/2024
Feliz dia mi pqueña hermanita ,2/9/2024
"Me caes mal, eres tonto y feo.",1/30/2024
Yo quiero algo bonito contigo ,2/7/2024
Tqm mucho mi vida 💓,1/29/2024
Ñiñiñi,1/31/2024
"Mi Emi bella, te amo❤️",2/7/2024
Para Disimulada Fav ,1/30/2024
De tu admiradora secreta💗💗💗💗,2/6/2024
tq valeee<3,2/7/2024
TQM :D,2/9/2024
Gracias por tus consejos tqm,2/9/2024
Feliz san Valentín mi vida ❤️,2/4/2024
Te amodoro negrita <3,2/9/2024
Te amoooo 💋,2/7/2024
Te amo mi amor 💗,2/1/2024
De tu pana cachudoo ,2/9/2024
Te amo mi amor 😻 ,2/7/2024
"Hola sucia , somos enemigos ",2/7/2024
;),2/2/2024
te amo nicoo<3 att: tu ñaña,2/3/2024
Te amo ya ,2/8/2024
tqm 🫶🏻,1/27/2024
te amo ,2/8/2024
Disfruta mi real,2/7/2024
Tqm Meliii,2/5/2024
Feliz San Valentín mi amoor ❤️❤️,2/7/2024
Eres una gran amiga tqm 🥰,2/4/2024
Tequieromuchochivoblanco,2/6/2024
para la mujer que bota fuego,2/8/2024
De ti-baby j,2/6/2024
okei besti 🙉,2/8/2024
Te amo ❤️ Feliz San Valentín ,1/30/2024
Feliz San Valentín! TQM,2/9/2024
i love you so much ,2/7/2024
Gracias por ser mi FBI 😎,1/30/2024
La naturaleza es hermosa pero ,2/1/2024
 se te quiere feliz dia,1/31/2024
Volvamos hablar ,2/6/2024
Te quiero amole !!,1/29/2024
Los manda el amor de tu vida:),1/25/2024
Feliz San Valentín mi amor ,1/30/2024
D casualidad no sueltan leche?,2/5/2024
Te amo ❤️,2/8/2024
TQM Gomela ;),2/8/2024
"Tqm<3, gracias por tu amistad",1/29/2024
Te quiero  mucho,2/8/2024
Te quiero Leo :),1/30/2024
Feliz día bestie!,2/9/2024
Te amo chola,1/26/2024
Te quiero mucho !!! menso ,2/5/2024
Hermosa eres one in a million,2/9/2024
Te amo loquita. J❤️,1/26/2024
Te amo muchoo mi Danna hermosa,2/3/2024
Te amo mi tami ,2/7/2024
T amo persona favorita ,2/5/2024
Que las disfrutes ,2/8/2024
Tqm corazón,2/7/2024
Tqmm david de mi vidaaa,2/7/2024
Toma sebas,2/7/2024
Mira q increíbles gomitas,2/5/2024
Quizas no te vuelva a ver.,2/9/2024
Te quiero 💖💓,2/1/2024
Voy aver que podemos compartir,2/10/2024
Feliz San Valentín Celeste!!,2/6/2024
Feliz San Valentin  mi Lorell,1/30/2024
FELIZ DIA DE LA AMISTAD 💅💗,2/8/2024
Ame querida 💗🎀,2/5/2024
Te amo un monton ᰔᩚ,1/30/2024
Te quierou,2/8/2024
TQM  c:,2/2/2024
eres el mejor amigo te quiero ,2/9/2024
Tqm marii🩷,2/5/2024
Tamo 🩷🩵❤️,2/9/2024
t amo mi bonitoo ❣,2/8/2024
Feliz día niña guapa 💞,2/1/2024
Stargirl? honti ,2/8/2024
tqm minionnn 1.51,1/29/2024
Te quiero mucho gay ,2/5/2024
Te amo miamorsh c:,2/9/2024
Te mereces todo mi vida.,2/8/2024
Voy aver que compartir Tqm ,2/10/2024
Juegas muy bien,1/26/2024
TQM 🐄💗,2/7/2024
Me re gustas att:A,1/30/2024
Por ser un amor siempre.,2/8/2024
Feliz san valentínnn <33,2/7/2024
<3 <3,1/30/2024
Cristo mi Rey ¡Te Amo !,2/8/2024
Te amo🩷,2/2/2024
miniñabonita,1/25/2024
Para la más wapa ,1/30/2024
Niña hermosa te amo <3,2/6/2024
nous aurions été bien,2/1/2024
Tqm 🫶,2/2/2024
Dinosaurio tqm mucho mucho ,1/29/2024
TE AMO NEGRO<3,1/30/2024
La intención MC :) ,2/8/2024
Mua,2/7/2024
La amo demasiado  mi vida,2/7/2024
Te amo un mundo zorra ,2/7/2024
perdon :(,2/7/2024
Gei,2/8/2024
Feliz día Dome ,2/8/2024
mi negra tk,2/5/2024
T quiero mucho negra guapa ,2/6/2024
Te quiero mi bad bunny lover ❤️,2/8/2024
 Me encantas😻,2/8/2024
Hola cara de cola❣️,1/30/2024
Tqm mi real,2/7/2024
Te quiero muxooo,2/8/2024
Me caes mal tontamentira beso💗,2/5/2024
"tqm vro, ya hablemos más :,)",2/6/2024
Estoy orgulloso de ti. TQM,2/7/2024
Te amo full 🫶,2/7/2024
feliz San Valentín nucita :),2/5/2024
Tqm❤️,2/7/2024
TE AMOO FULL GOMEZ ,1/29/2024
"Tamo Mome, R <3",2/7/2024
Feliz dia ,2/7/2024
Te quiero mucho Emi 🫶🫶,1/30/2024
Feliz Sab Valentín ,2/8/2024
Por más anécdotas juntos ,2/8/2024
Te quiero bby <3,2/6/2024
Te amo 3 millones bonita ,2/3/2024
Mi mejor amiga soul sister ❤️! ,2/6/2024
My pretty boy,2/9/2024
"Ab imo pectore, admirator arca",2/6/2024
Feliz San Valentín O.o ,2/6/2024
Ahora tu alma es mia 😎 jajajja,1/27/2024
Tqm Mathy,2/8/2024
Te amo princesa 💗,1/25/2024
❥,2/7/2024
Te amo mucho amor ,2/4/2024
Nunca olvide cuanto le amo❤️‍🩹👑💝💕,2/1/2024
Tkm culona 🤟,2/6/2024
Feliz dia babyy xd ,2/9/2024
Por un año de amistad,2/7/2024
TE AMO SANDROOO,2/8/2024
que novia tan guapa tienes,2/7/2024
Mátenla ,2/6/2024
te quiero muchoo belen muak <3,2/6/2024
Que rico lo del gym hp,2/6/2024
T amo bellakita guapa💖😘,2/8/2024
Perra ,2/10/2024
Tkm,1/30/2024
Eres mi mejor amigo,2/6/2024
Te amo ojitos ,2/9/2024
si,2/8/2024
Holaas 😘,2/9/2024
Para la evangeline,2/2/2024
Te quiero ,2/10/2024
Feliz San Valentin Amy <3,2/8/2024
Hola guapa <3,2/8/2024
Te adoro precioso <3,2/6/2024
"""Tu sonrisa, mi universo""",2/9/2024
Love you,2/5/2024
moralovers x100pre ,2/6/2024
Feliz cumpleaños mi amorr,1/30/2024
te amooo,1/30/2024
Te amo Balu ,2/7/2024
Temandariamellocosperonocpuede,2/8/2024
"Feliz 14, celebrando un 15 ...",1/27/2024
Entré tantas ratas tu eres el ,2/8/2024
hola vee tqm,1/30/2024
TE QUIERO Ooo,2/8/2024
Son dos regalitos tqm 💗,2/2/2024
Te quiero mucho Paz,2/10/2024
Te quiero mucho mi Ale <3,2/6/2024
Te amo dodo,2/8/2024
Feliz San Valentín te amoo,2/5/2024
Se feliz con el pinchao,2/8/2024
Att:El amor de tu vida ,2/1/2024
"t amo amiga, feliz SV ",1/25/2024
tamo mi ivanca ,1/31/2024
Tqm💗,1/30/2024
Tqmmm,2/5/2024
t amo💕,2/6/2024
Daphnesita <3,2/8/2024
Tqm mi vida te mereces todo 🥹,1/30/2024
"Te amo mi amor, feli diaaa! <3",2/6/2024
Te quieroo Te mereces todo ,1/31/2024
Eres muy lindo ,2/7/2024
♡♡♡,2/5/2024
Te amo un mundo Anita <3,2/8/2024
Te quiero mucho bonita 🫶,2/10/2024
Mituuuu ,2/2/2024
¿Quieres ser amigos?,1/25/2024
tqm ,2/5/2024
Gracias por su amistad,2/6/2024
Ya son 9 meses mi amor te amo,1/25/2024
TQM Att Vale L.,1/25/2024
Tu compañero MC,2/8/2024
Feliz San Valentin chiquii ,2/10/2024
Valesita mía te quiero mucho ,2/6/2024
Te amo siempre🩵,2/3/2024
Te quiero mucho mi vida 💗,2/1/2024
Tqm 😘 ,2/6/2024
PARA TI LINDA<3 TE QUIERO MUCH,2/6/2024
Tkm pequeño minion<3,2/9/2024
Que te valla bien ,2/6/2024
tqm!!,2/7/2024
Te quiero mucho♡,2/5/2024
espero t guste :D,2/8/2024
Te quiero mucho 💓,2/9/2024
Gracias por ser incondicional ,1/26/2024
Ilin te quiero mucho,2/9/2024
Te quiero mucho negrita ,2/7/2024
Te extraño 🫶,1/29/2024
"Ahi esta,(soy granda)",2/9/2024
Galcia,2/2/2024
Olaaaaa,2/8/2024
Tqm martu(mi poste de luz fav),1/26/2024
Tamo,2/6/2024
Te quiero muchísimo🐾🩵,2/1/2024
Te amu mucho mi Vale<33,1/25/2024
Tqm. ♡ Siempre serás el 1#.,2/10/2024
Se feliz y toma agüita 🫶🏻,2/1/2024
TRAKA,2/9/2024
"T amo Jimena, aprende de mi 💗",1/30/2024
TE QR,1/29/2024
te quiero chelo ,2/8/2024
"Feliz día Joycesita, tqm!",2/4/2024
te extraño negraaa,2/5/2024
TQM❤️,2/7/2024
te amoo mucho,2/2/2024
para la más preciosa teamo,2/7/2024
te amo princesita ,2/6/2024
"Te amo pri, tetona ",2/7/2024
t amo rata sucia ,2/7/2024
Te amo muamua ♡,2/7/2024
Tq Gabygaby jajaja :) ,2/6/2024
Feliz diaa mi opuchuk ❤,2/9/2024
Tqm puta <3,2/9/2024
Porq se te quiere ,1/29/2024
Te mando gomitas en anonimo🫶🏼,2/2/2024
"Tu madrastra favorita  , TQM",1/30/2024
aña,1/30/2024
Tqm Sami  feliz san Valentín 💗,2/3/2024
:b,1/26/2024
Tqm Linda disfruta mucho ,1/30/2024
Pa mi perdona favorita 🫶🏻,2/7/2024
Eres lo más bonito que tengo ❤️,2/5/2024
Maldita Muerti,1/29/2024
Tqm mejor amiga<3,2/5/2024
JAKSJAKS JAJAJ tqm,2/8/2024
Feliz día Mi Morra!!!,1/26/2024
Feliz San Valentín Camiii <3,2/2/2024
Una rosa para otra rosa ❤️,2/10/2024
Feliz San Valentin,2/9/2024
Tkm linda,2/2/2024
estas muy guapa me gustas😍,1/26/2024
Mi Barney preciosa te amo 🥰,2/7/2024
Tu sabes quien soy <3,2/8/2024
"Tamo ya, mi bnito💘",2/8/2024
Pasala bien preciosa. TQM,1/25/2024
"Te quiero, Fabi ",2/7/2024
Mi bella cara mia te amo ari,2/9/2024
Te quiero un montón niña linda,2/8/2024
Pa que no llores JSJSJSJS,2/4/2024
Con mucho cariño para mí linda,2/7/2024
Holas Julii tqm y pasala bnn ♥,2/9/2024
Feliz día mi Less  Te amo 🩷,2/7/2024
❤️,1/28/2024
Samy te quiero mucho<3,1/29/2024
Por Picada nomas Ali  >:p,2/6/2024
Vamos paticumbiaa <3,2/9/2024
Era un reto JAJAJAJ,2/8/2024
t amo mi niña,2/4/2024
No es con amor pasquelito 💗,2/5/2024
😎,1/31/2024
te amo mi confiable,1/30/2024
Divorciado gay ,1/29/2024
love u,1/30/2024
para que te acuerdes de mí :),1/25/2024
Ailoviu para ti ya no a él😽A ,2/7/2024
Te amo mucho Niquito <3 ,1/31/2024
Te amo ♥️,2/9/2024
Te extraño mucho 🫶 Tqm,2/8/2024
Para mi jugadora de volley fav,1/30/2024
Te quiero full katita♡,2/5/2024
A este sapo. Tqm mejo,1/27/2024
te quiero mucho ,1/29/2024
son para tu perro <3 777,2/2/2024
Por linda 😍,1/25/2024
Sisi tambien te quiero sapa :),2/9/2024
"""Me gustas perdón""",2/7/2024
🎀,2/8/2024
Ten un lindo día. ❤,2/6/2024
TE AMOO FULL BB ,1/29/2024
Te quiero mucho Joyce bella,1/29/2024
feliz dia Vic ,2/5/2024
Para la más enojona <3,2/8/2024
Feliz San Valentín 💝 ,2/8/2024
Ten un lindo día✨,2/9/2024
ponte ese valo,2/9/2024
"Ola amol, te amo muchote <3",2/7/2024
Espero te guste  Ti amoo💗,1/29/2024
Que disfrutes calvopiña :),2/1/2024
Blue Label Elissir,2/7/2024
Te amo cosa (ojalá sea rojita),2/8/2024
UWU,1/26/2024
Gracias por su dedicación ❤️,2/2/2024
Chikiguapi feliz san valentin,2/7/2024
te amo zoe 💗,2/5/2024
FelidiaojalatebesesAxelotravez,2/6/2024
Te quiero un montón tellito,2/6/2024
TQM mi Emi linda,1/28/2024
Feliz día de la amistad,1/31/2024
T6 q256310 ,1/30/2024
Te amo Cami,2/9/2024
Me caes bien :),2/7/2024
"Bonita bonita, me caes mal 💗",2/6/2024
Jojojo 😂,2/4/2024
Te amoo mi canelita 🫶🏻🎀,1/29/2024
Para mi bistec tkm 💙,2/5/2024
I still love you De: JuanD T ,2/2/2024
Sigue mis consejos con la V.T💗,2/3/2024
Tu alma gemela,1/29/2024
"fliz Sn Valentín, úsalo siempr",2/6/2024
Te quiero feliz San Valentín 💗,2/9/2024
Para ti preciosa ,2/6/2024
Para el joshi.,2/9/2024
te amo mucho anto ,2/6/2024
teamomuchomibida muack,2/5/2024
Feliz San Valentín Felipe 👊🏻 P,2/7/2024
te amo Estefy cara de rata ❤️✌️,2/7/2024
Tamo muchísimo Gabi de mivida💗,1/30/2024
♡,2/4/2024
"En el silencio y tranquilidad,",2/5/2024
ily ⚝,2/7/2024
Te quiero full Sofi :),2/7/2024
Te amo demasiado celes ,2/8/2024
Feeliz san valentin te quiero,2/8/2024
ola tilina comoestas,1/30/2024
"2 palabras, 5 letras <3",2/9/2024
Feliz dia de la amistad tqm 💗,2/8/2024
Te amo mi vidaaa,2/8/2024
Feliz San Valentin Sammy,1/30/2024
Ten un lindo dia Emilios,1/30/2024
Te amo mucho pulga <3,1/25/2024
🫶🖕,2/6/2024
"""Frases de amor para mi novio""",2/8/2024
Danielita te amo mucho ,2/6/2024
 ♡ happy valentines day ♡,1/30/2024
te amo por siempre ,2/8/2024
te quiero mucho con amor yo,2/9/2024
Para la mejor vecina🫶 pero shh,1/29/2024
Para mi prima FV ,2/9/2024
Me debe esa salida 🌑,2/10/2024
;),2/7/2024
Te voy a mandar más reels :),2/6/2024
Pero :/................,2/6/2024
Tqm Mariju,1/25/2024
Feliz San Valentín Pancho tqm💗,2/5/2024
Je t'aime beaucoup ma vie 💖,2/7/2024
"Feliz día, te amo",2/8/2024
WUACHAAAAA   :)  -D,2/10/2024
tqm marisita,2/6/2024
Te amo bobis feliz día 💘,2/6/2024
"espero te guste, sapito",2/9/2024
Hola giu tqm ❤️,2/6/2024
pelos locos te quiero <3,1/30/2024
Mi perfecta titular ,2/7/2024
Te queruu😻,2/7/2024
Para mi chefcita favorita ❤️,2/8/2024
Te quiero Ñaña ,2/9/2024
yo tambien te quierodio jaja,2/9/2024
<3 TQM,2/6/2024
De parte de tu negro fav<3,2/1/2024
TKM RATE<3,2/2/2024
Solo soñaré contigo...,1/25/2024
tqm pitudo AJAJAJ,2/8/2024
Eres una persona muy especial ,2/8/2024
Tqm <3 ,2/7/2024
Tqm Amaia,2/8/2024
Feliz día mi Sofi linda💕,2/8/2024
Para mi estrellita <3,1/30/2024
Se le quiere mami paila,2/8/2024
Me haces muy feliz 🤍,2/7/2024
Te quiero mucho negra ,1/25/2024
Te amo ya?,1/25/2024
Te quiero mucho🫶🏻,2/9/2024
T quiero mucho amiguiwi,2/5/2024
Te amo niña,2/7/2024
Te quiero Rafita,2/5/2024
te amo mi hermano ,1/30/2024
para la mas bella de todas <3 ,2/2/2024
Tamo mucho luciii,2/6/2024
tqm vicky ,2/7/2024
Te quiero sapaa,1/30/2024
🥰🥰,2/5/2024
Se que no lo esperabas pero...,2/9/2024
te extraño noa,2/2/2024
"Feliz Díaaa, te amo un mundo 💖",2/8/2024
Te quiero ❤️ ,2/6/2024
tqm miminx<3 ,1/25/2024
Te quiero mejor amigo ❤️,2/9/2024
Te iba a dar un anillo pandora,1/25/2024
Te amoo mi niño precioso<3,2/8/2024
Deja de ser sobrado,2/10/2024
😍,2/6/2024
Espero t guste mucho <3,2/4/2024
feliz san valentin me cae bien,2/1/2024
Para mi negree favorita ,1/29/2024
Te amo 💕 ,2/7/2024
Tqm linda ojalá te guste ❤️,2/5/2024
Te amo mi amor y te extraño,2/2/2024
"Niña, valore ",2/8/2024
espero te guste ,2/8/2024
Bonito día,2/5/2024
Feli dia de la amista <3,2/2/2024
Te quiero mucho te extraño 😻,2/8/2024
Te amo mailob 💗🤟🏻,2/7/2024
"Hola averigua quien soy, chao",2/5/2024
Te amo mua mua,2/5/2024
Para el amor de mi vida 🫶,2/7/2024
T amo mi amor eres la mejor 😻,1/31/2024
🙉,2/9/2024
Uuuu,2/7/2024
coma rico bb,2/7/2024
"Feliz dia mi amor, te adoro ♡♡",2/7/2024
Soy de tu grado.,2/7/2024
My loveeee,2/7/2024
Te amo mua 😭💖,2/8/2024
Te quiero risitas ❤️✨,2/2/2024
Somos duo de salados,1/30/2024
Love u,2/7/2024
"My Valentine, te amo 💗",2/10/2024
Feli dia de la amistad <3,2/7/2024
mi ñaña y mi bestie.tqm 🫶🏻,2/5/2024
Esa Cruz minuto: 0:41-1:08    ,2/9/2024
Eres hermosa corazón de poio ,2/5/2024
Te amo muchisisisisisisisisimo,1/30/2024
Porque te gustan las gomitas<3,2/8/2024
Te amo vida hermosa,2/2/2024
Maryyy gracias por tu amistad ,2/9/2024
para mi mejor amiga ,2/8/2024
Tq mucho <3,2/6/2024
Feliz día chikita ,1/27/2024
Me gustas ,2/8/2024
Love u besti ,2/1/2024
T amo bellakitaa 💐,2/8/2024
Feliz San Valentin :),1/31/2024
Podemos salvar la amistad?,1/29/2024
Te amo mucho mi vida ♡,2/6/2024
tqm keyla,2/7/2024
Holaa ,2/6/2024
Necesito tu talla de anillo ,2/8/2024
For beeing my bestie.,2/6/2024
Te extraño mucho Mela,1/26/2024
Tqm..... E🌹,2/6/2024
Felis san balentin unu  ^•-•^,2/8/2024
Feliz segundo San Valenin❤️,2/9/2024
Besitop,2/8/2024
Love youuu ,2/4/2024
Con mucho cariño tu novia 😻,1/29/2024
